long,lat,suitability,species
40.75,-16.25,0.8999999761581421,silky shark
41.25,-16.25,0.5400000214576721,silky shark
41.75,-16.25,0.8799999952316284,silky shark
42.25,-16.25,0.5600000023841858,silky shark
42.75,-16.25,0.4099999964237213,silky shark
43.25,-16.25,0.8999999761581421,silky shark
43.75,-16.25,0.9900000095367432,silky shark
44.25,-16.25,0.699999988079071,silky shark
44.75,-16.25,0.9100000262260436,silky shark
45.25,-16.25,0.8500000238418579,silky shark
45.75,-16.25,0.8199999928474426,silky shark
49.75,-16.25,1,silky shark
50.25,-16.25,0.28999999165534973,silky shark
50.75,-16.25,0.7699999809265137,silky shark
51.25,-16.25,0.18000000715255737,silky shark
39.25,-16.75,1,silky shark
39.75,-16.75,1,silky shark
40.25,-16.75,1,silky shark
40.75,-16.75,0.6600000262260437,silky shark
41.25,-16.75,0.5,silky shark
41.75,-16.75,0.6700000166893005,silky shark
42.25,-16.75,0.5799999833106995,silky shark
42.75,-16.75,1,silky shark
43.25,-16.75,1,silky shark
43.75,-16.75,1,silky shark
44.25,-16.75,0.9300000071525574,silky shark
49.75,-16.75,1,silky shark
50.25,-16.75,0.3100000023841858,silky shark
50.75,-16.75,0.7099999785423279,silky shark
37.75,-17.25,0.8600000143051147,silky shark
38.25,-17.25,0.8999999761581421,silky shark
38.75,-17.25,0.9700000286102296,silky shark
39.25,-17.25,1,silky shark
39.75,-17.25,0.9700000286102296,silky shark
40.25,-17.25,0.7699999809265137,silky shark
40.75,-17.25,0.5699999928474426,silky shark
41.25,-17.25,0.44999998807907104,silky shark
41.75,-17.25,0.7599999904632568,silky shark
42.25,-17.25,0.5799999833106995,silky shark
42.75,-17.25,1,silky shark
43.25,-17.25,1,silky shark
43.75,-17.25,0.8700000047683716,silky shark
44.25,-17.25,0.8899999856948853,silky shark
49.25,-17.25,1,silky shark
49.75,-17.25,1,silky shark
50.25,-17.25,1,silky shark
50.75,-17.25,0.38999998569488525,silky shark
36.75,-17.75,0.8199999928474426,silky shark
37.25,-17.75,0.8399999737739563,silky shark
37.75,-17.75,0.8700000047683716,silky shark
38.25,-17.75,1,silky shark
38.75,-17.75,1,silky shark
39.25,-17.75,0.7599999904632568,silky shark
39.75,-17.75,0.5600000023841858,silky shark
40.25,-17.75,0.5199999809265137,silky shark
40.75,-17.75,0.4900000095367432,silky shark
41.25,-17.75,0.4600000083446502,silky shark
41.75,-17.75,1,silky shark
42.25,-17.75,0.5899999737739563,silky shark
42.75,-17.75,0.6600000262260437,silky shark
43.25,-17.75,1,silky shark
43.75,-17.75,0.8399999737739563,silky shark
44.25,-17.75,0.8600000143051147,silky shark
49.25,-17.75,1,silky shark
49.75,-17.75,1,silky shark
50.25,-17.75,0.5099999904632568,silky shark
50.75,-17.75,0.119999997317791,silky shark
36.75,-18.25,0.6899999976158142,silky shark
37.25,-18.25,0.9700000286102296,silky shark
37.75,-18.25,1,silky shark
38.25,-18.25,0.7799999713897705,silky shark
38.75,-18.25,0.6299999952316284,silky shark
39.25,-18.25,0.5199999809265137,silky shark
39.75,-18.25,0.4900000095367432,silky shark
40.25,-18.25,0.4600000083446502,silky shark
40.75,-18.25,0.44999998807907104,silky shark
41.25,-18.25,0.5299999713897705,silky shark
41.75,-18.25,1,silky shark
42.25,-18.25,0.6200000047683716,silky shark
42.75,-18.25,0.6299999952316284,silky shark
43.25,-18.25,0.9700000286102296,silky shark
43.75,-18.25,0.8700000047683716,silky shark
44.25,-18.25,0.8600000143051147,silky shark
49.25,-18.25,1,silky shark
49.75,-18.25,1,silky shark
50.25,-18.25,0.30000001192092896,silky shark
35.75,-18.75,0.8600000143051147,silky shark
36.25,-18.75,0.7599999904632568,silky shark
36.75,-18.75,1,silky shark
37.25,-18.75,1,silky shark
37.75,-18.75,0.9300000071525574,silky shark
38.25,-18.75,0.6600000262260437,silky shark
38.75,-18.75,0.5699999928474426,silky shark
39.25,-18.75,0.47999998927116394,silky shark
39.75,-18.75,0.4600000083446502,silky shark
40.25,-18.75,0.4300000071525574,silky shark
40.75,-18.75,0.41999998688697815,silky shark
41.25,-18.75,0.5600000023841858,silky shark
41.75,-18.75,0.8899999856948853,silky shark
42.25,-18.75,0.6600000262260437,silky shark
42.75,-18.75,0.5899999737739563,silky shark
43.25,-18.75,0.7400000095367432,silky shark
43.75,-18.75,1,silky shark
44.25,-18.75,0.8600000143051147,silky shark
49.25,-18.75,1,silky shark
49.75,-18.75,0.9200000166893004,silky shark
50.25,-18.75,0.25999999046325684,silky shark
35.25,-19.25,0.75,silky shark
35.75,-19.25,0.7900000214576721,silky shark
36.25,-19.25,1,silky shark
36.75,-19.25,1,silky shark
37.25,-19.25,1,silky shark
37.75,-19.25,0.7799999713897705,silky shark
38.25,-19.25,0.6399999856948853,silky shark
38.75,-19.25,0.550000011920929,silky shark
39.25,-19.25,0.47999998927116394,silky shark
39.75,-19.25,0.4300000071525574,silky shark
40.25,-19.25,0.41999998688697815,silky shark
40.75,-19.25,0.41999998688697815,silky shark
41.25,-19.25,0.4900000095367432,silky shark
41.75,-19.25,0.6200000047683716,silky shark
42.25,-19.25,0.5600000023841858,silky shark
42.75,-19.25,0.5600000023841858,silky shark
43.25,-19.25,0.6899999976158142,silky shark
43.75,-19.25,1,silky shark
44.25,-19.25,0.7699999809265137,silky shark
44.75,-19.25,0.9200000166893004,silky shark
48.75,-19.25,1,silky shark
49.25,-19.25,1,silky shark
49.75,-19.25,0.5400000214576721,silky shark
50.25,-19.25,0.09000000357627869,silky shark
34.75,-19.75,0.8500000238418579,silky shark
35.25,-19.75,0.7200000286102295,silky shark
35.75,-19.75,0.9399999976158142,silky shark
36.25,-19.75,1,silky shark
36.75,-19.75,1,silky shark
37.25,-19.75,0.8500000238418579,silky shark
37.75,-19.75,0.6700000166893005,silky shark
38.25,-19.75,0.5799999833106995,silky shark
38.75,-19.75,0.5099999904632568,silky shark
39.25,-19.75,0.4300000071525574,silky shark
39.75,-19.75,0.36000001430511475,silky shark
40.25,-19.75,0.41999998688697815,silky shark
40.75,-19.75,0.4399999976158142,silky shark
41.25,-19.75,0.4300000071525574,silky shark
41.75,-19.75,0.4399999976158142,silky shark
42.25,-19.75,0.6299999952316284,silky shark
42.75,-19.75,0.5600000023841858,silky shark
43.25,-19.75,0.6800000071525574,silky shark
43.75,-19.75,0.959999978542328,silky shark
44.25,-19.75,0.8199999928474426,silky shark
44.75,-19.75,0.8500000238418579,silky shark
48.75,-19.75,1,silky shark
49.25,-19.75,1,silky shark
49.75,-19.75,0.2800000011920929,silky shark
53.75,-19.75,0.15000000596046448,silky shark
34.75,-20.25,0.9399999976158142,silky shark
35.25,-20.25,0.7599999904632568,silky shark
35.75,-20.25,0.9800000190734864,silky shark
